,msc,ldn,pit
0,2.2428991853743696,2.1300000000000026,1.4600000000000009
1,1.8412957861724593,1.8299999999999983,1.7700000000000031
2,2.7428197059439086,2.730000000000004,2.9199999999999946
3,1.3238980413064354,1.4500000000000028,0.9499999999999886
4,5.508077789436015,6.390000000000001,5.700000000000003
5,3.737268989705754,3.4000000000000057,3.6000000000000085
6,0.954228293526441,1.0,1.2800000000000153
7,1.0168603658836588,0.8099999999999881,0.0
8,3.1616272573628237,3.1500000000000057,3.260000000000005
9,1.2584284010636253,1.2199999999999989,1.0799999999999983
10,2.4351301005788315,2.5799999999999983,0.0
11,1.1368229587603764,1.3799999999999955,1.2800000000000011
12,3.5270892616045444,3.1099999999999994,3.9399999999999977
13,4.35408879952314,4.530000000000001,4.089999999999989
14,2.174370537475042,2.530000000000001,1.7600000000000051
15,3.5522000504658564,3.6999999999999886,2.950000000000003
16,1.6635586419886295,1.6699999999999875,1.8599999999999994
17,1.2281684127654415,1.3100000000000023,1.019999999999996
18,2.789908690513471,2.769999999999996,2.819999999999993
19,6.881046569015876,31.11,20.43
