,msc,ldn,pit
0,2.6086639822034385,0.0,0.0
1,4.0999144132787535,4.759999999999991,3.289999999999992
2,7.6303448269835314,6.430000000000007,0.0
3,3.4935133747679856,3.4099999999999966,3.329999999999984
4,5.610763259403825,5.010000000000019,4.150000000000006
5,2.6825065503701353,5.060000000000002,2.280000000000001
6,5.655744363984127,5.060000000000002,4.22999999999999
7,10.854969616433522,9.319999999999993,7.7900000000000205
8,3.822779369833796,2.670000000000016,0.0
9,3.2176788368329596,4.599999999999994,3.3300000000000125
10,3.1418587783219607,3.219999999999999,0.0
11,3.3470386861897907,2.240000000000009,0.3400000000000034
12,1.4299151283950664,0.28999999999999204,1.3500000000000227
13,9.040812712424326,8.120000000000005,5.099999999999994
14,2.4239577822888805,1.3199999999999932,2.799999999999983
15,1.418979794717842,0.0,1.1100000000000136
16,4.404323585857014,2.1500000000000057,4.3700000000000045
17,1.3439220866194148,0.0,0.8000000000000114
18,1.834005585327077,0.2599999999999909,0.4800000000000182
19,17.669905307593922,6.730000000000018,8.810000000000002
