,msc,ldn,pit
0,0.9065861537215483,2.039999999999992,0.8200000000000216
1,1.438611913205193,0.0,0.8199999999999932
2,3.177396008505511,0.0,0.0
3,1.8821874039403639,0.0,1.2700000000000102
4,5.357470628907137,0.0,4.650000000000006
5,2.516570323957893,0.0,2.3900000000000006
6,6.302219278238553,0.0,5.939999999999998
7,1.1384117342917222,0.0,0.0
8,2.184400404855296,0.0,1.490000000000009
9,0.8423833383817225,0.0,0.6199999999999903
10,1.3958759522298578,0.0,0.0
11,3.799707623960657,2.2099999999999937,0.5
12,2.662490150473488,0.0,0.5
13,0.9019738184108803,1.75,0.6999999999999886
14,3.321423738775124,0.0,2.25
15,1.128600560544669,2.0400000000000063,0.269999999999996
16,0.6681542278690529,0.0,0.5300000000000011
17,1.2115604151991732,0.0,1.1700000000000017
18,4.792900935857176,0.0,1.1099999999999994
19,11.873428457189974,0.0,7.38000000000001
20,1.0592660263589266,0.2599999999999909,0.0
