,msc,ldn,pit
0,2.6429371377483335,3.519999999999982,0.0
1,5.322109104759136,3.569999999999993,5.569999999999993
2,4.758378609963472,3.5999999999999943,5.689999999999998
3,4.824689091919538,4.47999999999999,6.139999999999986
4,8.365569927716678,7.1200000000000045,6.949999999999989
5,9.53307788847664,6.780000000000001,7.3300000000000125
6,6.370415149527531,9.169999999999987,0.0
7,4.05037080993813,5.170000000000016,3.569999999999993
8,6.772004214962948,3.700000000000017,5.6200000000000045
9,3.9230401966677277,3.9499999999999886,0.0
10,3.9860030643320385,0.0,0.30000000000001137
11,8.964472242922113,3.900000000000034,3.2099999999999795
12,7.666017210074301,4.579999999999984,5.889999999999986
13,6.247179248496423,6.349999999999994,5.110000000000014
14,9.070018925430531,3.8000000000000114,6.9599999999999795
15,3.2821486157438926,6.8700000000000045,2.6299999999999955
16,5.73730763237009,3.8500000000000227,5.180000000000035
17,4.77558692662376,6.25,4.210000000000008
18,23.603000639062373,13.419999999999987,12.519999999999982
19,0.10198158601960472,3.5999999999999943,0.0
